Field "Less scattered" "Good WCS" "Failed Mask" "Poor WCS" "Failed WCS" tot fr na
FF0802 3 4 0 0 0 4.0 0.75 F
FE1801 4 8 0 0 0 8.0 0.5 F
FL0701 8 16 0 0 0 16.0 0.5 F
FF0502 4 8 0 0 0 8.0 0.5 F
FL2003 4 12 0 0 0 12.0 0.3333333333333333 F
FJ3002 20 36 0 0 0 36.0 0.5555555555555556 F
FC1702 8 16 0 0 0 16.0 0.5 F
FE1602 4 8 0 0 0 8.0 0.5 F
FI1903 4 13 0 0 0 13.0 0.3076923076923077 F
FE0301 4 24 0 0 0 24.0 0.16666666666666666 F
FD2701 4 8 0 0 0 8.0 0.5 F
FC2501 8 28 0 0 0 28.0 0.2857142857142857 F
FL2902 4 24 4 0 0 28.0 0.14285714285714285 F
FJ2201 4 24 0 0 0 24.0 0.16666666666666666 F
FC1606 8 16 0 0 0 16.0 0.5 F
FC1502 8 16 0 0 0 16.0 0.5 F
FB2201 4 20 4 0 0 24.0 0.16666666666666666 F
FL3107 4 8 0 0 0 8.0 0.5 F
FA1504 12 24 0 0 0 24.0 0.5 F
FC3101 4 12 0 0 0 12.0 0.3333333333333333 F
FA1802 8 17 4 0 0 21.0 0.38095238095238093 F
FD2001 4 16 0 0 0 16.0 0.25 F
FK2301 8 16 0 0 0 16.0 0.5 F
FB2204 4 12 0 0 0 12.0 0.3333333333333333 F
FB2605 4 13 0 0 0 13.0 0.3076923076923077 F
FB2003 28 44 0 0 5 49.0 0.5714285714285714 F
FI1606 12 32 0 0 0 32.0 0.375 F
FC1301 4 21 5 0 0 26.0 0.15384615384615385 F
FK2702 4 12 0 0 0 12.0 0.3333333333333333 F
FC2402 8 24 0 0 0 24.0 0.3333333333333333 F
FC1205 4 13 0 0 0 13.0 0.3076923076923077 F
FF0403 12 16 0 0 0 16.0 0.75 F
FB2001 4 12 4 0 0 16.0 0.25 F
FL1702 4 8 4 0 0 12.0 0.3333333333333333 F
FJ2802 4 16 0 0 0 16.0 0.25 F
FJ1808 4 8 0 0 0 8.0 0.5 F
FI2202 4 16 0 0 0 16.0 0.25 F
FK2801 4 8 4 0 0 12.0 0.3333333333333333 F
FK2203 8 20 0 0 0 20.0 0.4 F
U4XL1D 4 8 0 0 0 8.0 0.5 U
FK0901 4 12 0 0 0 12.0 0.3333333333333333 F
FK1004 8 12 0 0 0 12.0 0.6666666666666666 F
FK2202 4 23 0 0 2 25.0 0.16 F
FL2502 8 12 0 0 0 12.0 0.6666666666666666 F
FJ1502 8 13 0 0 3 16.0 0.5 F
FK1606 4 14 0 0 0 14.0 0.2857142857142857 F
FJ2003 8 16 0 0 0 16.0 0.5 F
FL3106 8 12 0 0 0 12.0 0.6666666666666666 F
FD2801 4 13 0 0 0 13.0 0.3076923076923077 F
FK1305 8 16 0 0 0 16.0 0.5 F
FK2509 8 12 0 0 0 12.0 0.6666666666666666 F
FL0401 12 24 0 0 0 24.0 0.5 F
FB0908 4 8 0 0 0 8.0 0.5 F
FA0402 4 8 0 0 0 8.0 0.5 F
FC1103 4 8 0 0 0 8.0 0.5 F
FK1501 4 28 0 0 0 28.0 0.14285714285714285 F
FB0107 8 12 0 0 0 12.0 0.6666666666666666 F
FB2501 4 16 0 0 0 16.0 0.25 F
UCOV05 4 16 0 0 0 16.0 0.25 U
FI1305 4 6 0 0 0 6.0 0.6666666666666666 F
FK0703 4 8 0 0 0 8.0 0.5 F
FK1806 4 16 0 0 0 16.0 0.25 F
FL0504 4 12 0 0 0 12.0 0.3333333333333333 F
FA1104 4 8 0 0 0 8.0 0.5 F
U00004 4 45 20 0 0 65.0 0.06153846153846154 U
FD3002 12 28 0 0 0 28.0 0.42857142857142855 F
FK1601 4 16 0 0 0 16.0 0.25 F
FE0203 4 8 4 0 0 12.0 0.3333333333333333 F
UHOLME 61 189 0 0 0 189.0 0.32275132275132273 U
FF0301 4 9 0 0 0 9.0 0.4444444444444444 F
USWAN4 4 12 0 0 0 12.0 0.3333333333333333 U
FK0406 4 8 0 0 0 8.0 0.5 F
FL0602 5 26 0 0 0 26.0 0.19230769230769232 F
FJ3105 7 19 0 0 0 19.0 0.3684210526315789 F
FC0504 4 16 0 0 0 16.0 0.25 F
U6B07T 9 14 0 0 0 14.0 0.6428571428571429 U
FA0201 4 8 0 0 0 8.0 0.5 F
FI2901 4 24 0 0 0 24.0 0.16666666666666666 F
S01030 118 122 24 0 2 148.0 0.7972972972972973 S
FE0303 4 8 4 0 0 12.0 0.3333333333333333 F
FK1807 8 12 0 0 0 12.0 0.6666666666666666 F
FF1302 4 13 4 0 0 17.0 0.23529411764705882 F
FJ0904 4 16 0 0 0 16.0 0.25 F
FA2803 4 10 4 0 0 14.0 0.2857142857142857 F
FC0303 4 16 0 0 0 16.0 0.25 F
FJ1001 4 24 0 0 0 24.0 0.16666666666666666 F
U73P10 4 8 0 0 0 8.0 0.5 U
FJ1002 8 20 0 0 0 20.0 0.4 F
FC1002 4 24 0 0 0 24.0 0.16666666666666666 F
FK2503 5 23 0 0 0 23.0 0.21739130434782608 F
FK1705 1 16 0 0 2 18.0 0.05555555555555555 F
FJ1806 8 12 0 0 0 12.0 0.6666666666666666 F
U8F00C 4 8 0 0 0 8.0 0.5 U
FA1301 3 20 0 0 0 20.0 0.15 F
FL2703 4 8 0 0 0 8.0 0.5 F
FI1202 4 8 0 0 0 8.0 0.5 F
